"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "Markdown", "YAML", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"/Users/marcossandovalruiz/Documents/quhealthy/services/google.service.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"/Users/marcossandovalruiz/Documents/quhealthy/services/healthVault.service.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 33, 13, 133
"/Users/marcossandovalruiz/Documents/quhealthy/services/healthscore.service.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 25
"/Users/marcossandovalruiz/Documents/quhealthy/services/intelligence.service.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/marcossandovalruiz/Documents/quhealthy/services/location.service.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 50
"/Users/marcossandovalruiz/Documents/quhealthy/services/onboarding.service.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 159
"/Users/marcossandovalruiz/Documents/quhealthy/services/package.service.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 25
"/Users/marcossandovalruiz/Documents/quhealthy/services/patientDetail.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 42
"/Users/marcossandovalruiz/Documents/quhealthy/services/patientDirectory.service.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 57
"/Users/marcossandovalruiz/Documents/quhealthy/services/payment.service.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 81
"/Users/marcossandovalruiz/Documents/quhealthy/services/provider-order.service.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 53
"/Users/marcossandovalruiz/Documents/quhealthy/services/providerScore.service.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 48
"/Users/marcossandovalruiz/Documents/quhealthy/services/public.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 35
"/Users/marcossandovalruiz/Documents/quhealthy/services/purchase-order.service.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/marcossandovalruiz/Documents/quhealthy/services/recommendationService.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 32
"/Users/marcossandovalruiz/Documents/quhealthy/services/referral.service.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"/Users/marcossandovalruiz/Documents/quhealthy/services/review.service.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 79
